question,answer
Why does it take time for the refund amount to be credited when it was already processed by Flipkart?,"Once the refund has been processed, the bank takes some time to reverse your initial transaction and complete the refund. However, the refund amount can be seen in your account within the time frame provided to you. Please contact your bank with the refund reference/UTR number in case you don't see the refund amount in your account after the specified timeframe."
Can I get the refund for the item through any other mode if I have paid using the 'Credit Card No Cost EMI' payment option?,"No, the refund for an order placed using the 'Credit Card No Cost EMI' payment mode can only be done to the credit card from which the payment was made."
Why have I only received a part of the refund amount,Refunds are processed item wise and you may see a part of the amount refunded while the remaining refund amount is still being processed.
Where will the refunds for my order be credited?,"For payments made through cash/POS, you can choose any of the below refund modes in case you return the item:

1. PhonePe wallet

2. NEFT or bank transfer (update your bank account details when you choose this option). For payments made from any other source, the mode of refund will be the same as the payment source."
What is Flipkart's credit card EMI payment option?,"With Flipkart’s credit card EMI option, you can choose to pay in easy installments of 3, 6, 9, 12, 18, or 24 months, with credit cards from the following banks:

HDFC
Citi
ICICI
Kotak
Axis
Induslnd
SBI
Standard Chartered
HSBC
*18 & 24 months EMI options are available from select banks only. Please refer to the table below for more details:

Banks	Supports 18 & 24 months tenure	Minimum order value to avail 18 & 24 months EMI options
HDFC	Yes	₹ 10,000
Citi	Yes	₹ 10,000
ICICI	Yes	₹ 10,000
Kotak	Yes	₹ 4,000
Axis	Yes	₹ 4,000
IndusInd	Yes	₹ 4,000
SBI	No	NA
Standard Chartered	Yes	₹ 4,000
HSBC	No	NA"
How does Flipkart prevent card fraud?,"Online payments are monitored by our systems for any suspicious activity and some transactions are verified through extensive checks if we find that they are not authorised by the owner of the card. When we're not able to rule fraud out in rare cases, the transaction is kept on hold and we ask the shopper to share relevant proofs. This is done to make sure that the transaction is genuine and authorised."
Can I use any Debit Card to pay for my order?,"You can choose to pay for your order on Flipkart with any Visa, MasterCard or Maestro Debit Card."
Can I use the Cash on Delivery payment option for every product I buy on Flipkart?,"The availability of Cash on Delivery option depends on factors like the delivery pincode, type of products etc.


Please enter your pincode on the product page to check if CoD is available at your location. If this option is available for your pincode, you can shop for products up to ₹49,999 using this."
How can I pay with a saved Credit/Debit Card?,Your saved cards can be seen when you choose the credit or debit card option to pay for your order. Enter the CVV number of that card (we do not store it) and click on the 'Pay' button. You'll also have to enter the card's 3D Secure password to complete the transaction.
How do I remove a saved card from my Flipkart account?,"You can remove a saved card from your account by following these simple steps:

- Go to 'Account'
- Click on 'Saved Credit/Debit Cards & Gift Cards'
- Tap 'Manage Card' next to the card you wish to remove
- Select 'Delete card' and confirm"
Why did I receive a message about delivery failure when I already received my order?,"This can happen due to an unexpected issue. If you have already received your order, please ignore any such message."
Can I change the address for the pick-up the of item(s) in my order?,"Once a return is requested, the pickup address cannot be changed. You can cancel this return request and create a new one with the updated address."
Why my return request is rejected?,"The return request may get rejected from the seller during the process of the request validation. For more details, please refer to the communications via SMS/Email you would have received when your return request was rejected or reach out to CS of Flipkart"
What i am getting charged for return? Can it be waived off?,"If your return requests are significantly higher than most customers, a return fee will apply to your order. This is levied to compensate sellers for the huge losses they incur as part of each return request. In case of an issue with the item, you can choose to exchange or replace it instead of returning it to avoid these fees. For more details, you can click 'Know more' beside the return fee information on the app at the time of creating a return request.
Please note return fees cannot be waived off"
I have requested for a return for my item. When will it happen?,"You can now track the status of your return easily right from your Flipkart account or mobile app. Just visit the 'My Orders' page to see its status along with the date of pick-up and status of your refund if applicable.

You will also receive an email & SMS with the details of your return."
"My pickup is completed, when the refund will get processed?","It usually takes 24 hrs of time for the pickup status to get updated in the system, post which a refund is processed from seller end."
What are the checks done for an item that I'm returning?,"During pick-up, your product will be checked for the following conditions:

 

Correct Product

IMEI/ name/ image/ brand/ serial number/ article number/ bar code should match and MRP tag should be undetached and clearly visible.

Complete Product
All in-the-box accessories (like remote control, starter kits, instruction manuals, chargers, headphones, etc.), freebies and combos (if any) should be present.

Unused Product
The product should be unused, unwashed, unsoiled, without any stains and with non-tampered quality check seals/ warranty seals (wherever applicable). Before returning a Mobile/ Laptop/ Tablet, the device should be formatted and Screen Lock (Pin, Pattern or Fingerprint) must be disabled. iCloud lock must be disabled and iCloud deactivation done for Apple devices.

Undamaged Product
The product (including SIM trays/ charging port/ headphone port, back-panel etc.) should be undamaged and without any scratches, dents, tears or holes.

Undamaged Packaging
Product's original packaging/ box should be undamaged.

 

The field executive may refuse to accept the return if any of the above conditions are not met.

For any products for which a refund is to be given, the refund will be processed once the returned product has been received by the seller."
"I have requested a replacement, when will I get it?","You can visit 'My Orders' section and tap the desired order to check the status of your replacement and pickup of the initially delivered product.
"
Do i need to handover the packaging material along with the product during pickup?,"Packaging material will not be needed during the pickup. You will need to handover the Brand box, MRP tag and the Warranty card (If received with the product)"
Can I modify/change the specification for the ordered product without cancelling it?,"No, once an order is placed the specification of the product can not be modified."
Why i am getting charged for cancellation? / What is cancellation Fee?,"Cancellation fee will be applied or charged only if an eligible order is cancelled after 24 hours of placing.
The reason is to compensate for the time and effort incurred in processing the order by the seller. Also, to compensate our logistics partner for incurring a cost when they ship the order, if the order is shipped. Note: Customer can find this information under the order details by logging into his/her Flipkart account."
Can I reinstate a cancelled order?,"Once an order is cancelled, it cannot be processed or delivered. It is recommended that you place a new order based on availability.

To locate the product quickly, visit the 'Orders' section of your Flipkart account and select 'Buy now'."
How long does it take to cancel an order?,"If the seller hasn’t shipped the order, it will be canceled immediately. If already shipped, cancellation occurs once the delivery partner confirms the return.

In some cases, a cancellation fee may apply if cancelled after the specified time. Cancellation windows vary by category, and doorstep cancellations may also incur fees. Please check the product page for details."
What is Flipkart EMI?,"Flipkart EMI is a simple, convenient and hassle-free way to shop on Flipkart whenever you want and pay later in easy monthly installments. Instead of paying the full amount upfront, you can split your payment and repay it over the time. The total you spend will be shown as a loan in your credit report.
"
Who can use Flipkart EMI?,"This EMI facility is currently available to only a selected set of customers. However, we are continuously looking to expand this offering to newer customers. Keep visiting & shopping on Flipkart to know more."
